GEOID,sovi,rank,fema_region
g08055,8.643805492936991,3.0,FEMA_8
g08057,0.7407715595457167,104.0,FEMA_8
g08059,0.21001259328712774,124.0,FEMA_8
g08061,0.3589934359261747,118.0,FEMA_8
g08063,-0.6511709095076679,163.0,FEMA_8
g08065,0.13375818147812124,127.0,FEMA_8
g08067,-1.2966504342901308,189.0,FEMA_8
g08069,-1.5229696085843258,201.0,FEMA_8
g08071,4.007205924866007,26.0,FEMA_8
g08073,5.560382259913082,13.0,FEMA_8
g08075,-1.548047490070801,202.0,FEMA_8
g08077,0.17708796566537355,125.0,FEMA_8
g08079,6.730389878594225,5.0,FEMA_8
g08081,-0.4151028492236599,150.0,FEMA_8
g08083,1.8076738970055917,65.0,FEMA_8
g08085,2.8560658341242275,46.0,FEMA_8
g08087,3.106380093214299,41.0,FEMA_8
g08089,6.002197466653938,9.0,FEMA_8
g08091,1.1602218574126875,86.0,FEMA_8
g08093,-0.8831243910717239,172.0,FEMA_8
g08095,3.2105744242251477,38.0,FEMA_8
g08097,-3.0068613359045444,256.0,FEMA_8
g08099,3.3573486588040224,35.0,FEMA_8
g08101,5.048359047313986,15.0,FEMA_8
g08103,-3.1708837058446653,260.0,FEMA_8
g08105,5.865195551752437,10.0,FEMA_8
g08107,-3.9378255240502824,272.0,FEMA_8
g08109,4.5688686777050895,20.0,FEMA_8
g08111,-4.5897157816906144,286.0,FEMA_8
g08113,-4.22102705226121,280.0,FEMA_8
g08115,3.2697800530304066,36.0,FEMA_8
g08117,-2.896079577238842,251.0,FEMA_8
g08119,0.9014046968924152,97.0,FEMA_8
g08121,-0.6372239208118615,161.0,FEMA_8
g08123,0.06698486874255039,130.0,FEMA_8
g08125,0.36741921527953014,117.0,FEMA_8
g09001,1.6955356732228948,17.0,FEMA_1
g09003,3.069271858322277,6.0,FEMA_1
g09005,-0.6824946787095986,40.0,FEMA_1
g09007,-0.7848905380776793,43.0,FEMA_1
g09009,2.7574313895023534,8.0,FEMA_1
g09011,-0.7515159115137977,42.0,FEMA_1
g09013,-4.531832635866117,65.0,FEMA_1
g09015,0.2724217837959406,29.0,FEMA_1
g10001,-0.3675375928532881,155.0,FEMA_3
g10003,-1.3172826305401735,199.0,FEMA_3
g10005,4.2679939412790135,21.0,FEMA_3
g11001,-0.7592889749134362,181.0,FEMA_3
g12001,-0.7737923237990473,461.0,FEMA_4
g12003,-0.8783917360576147,478.0,FEMA_4
g12005,0.24688544928442213,322.0,FEMA_4
g12007,2.6333203829818106,91.0,FEMA_4
g12009,0.19794342170842172,328.0,FEMA_4
g12011,1.9479238845670481,134.0,FEMA_4
g12013,5.02697062050312,24.0,FEMA_4
g12015,4.154173922626898,40.0,FEMA_4
g12017,4.587493897581124,28.0,FEMA_4
g12019,-3.740963567746467,691.0,FEMA_4
g12021,4.19864024034563,37.0,FEMA_4
g12023,0.9085561081484711,240.0,FEMA_4
g12027,7.086659944159834,10.0,FEMA_4
g12029,2.0970931495920784,126.0,FEMA_4
g12031,-0.8700766554422098,477.0,FEMA_4
g12033,0.44519541918212735,292.0,FEMA_4
g12035,1.4868584596871652,173.0,FEMA_4
g12037,6.163547514796722,19.0,FEMA_4
g12039,2.072819580298688,130.0,FEMA_4
g12041,0.7586302732323558,259.0,FEMA_4
g12043,9.372657506338454,4.0,FEMA_4
g12045,4.324439609387357,33.0,FEMA_4
g12047,4.300023928960107,34.0,FEMA_4
g12049,5.86503285098159,22.0,FEMA_4
g12051,7.6173642235549455,9.0,FEMA_4
g12053,1.7837031591189323,146.0,FEMA_4
g12055,6.467075917018258,16.0,FEMA_4
g12057,0.8067250764856059,253.0,FEMA_4
g12059,1.3908898680897261,182.0,FEMA_4
g12061,2.585892853222562,95.0,FEMA_4
g12063,3.7638633129075787,46.0,FEMA_4
g12065,2.107533858608425,124.0,FEMA_4
g12067,2.3488593711716925,114.0,FEMA_4
g12069,1.7569774407846128,147.0,FEMA_4
g12071,3.822521884380296,45.0,FEMA_4
g12073,-2.4060421648481958,633.0,FEMA_4
g12075,2.166656970685209,122.0,FEMA_4
g12077,2.3756954857744255,111.0,FEMA_4
g12079,2.0925665508796127,128.0,FEMA_4
g12081,2.1897768225952285,120.0,FEMA_4
g12083,3.06530136586944,70.0,FEMA_4
g12085,1.5089004610775656,169.0,FEMA_4
g12086,9.004354539161165,5.0,FEMA_4
g12087,2.6775170529400745,88.0,FEMA_4
g12089,-2.814155446694012,652.0,FEMA_4
g12091,-0.7322855475277622,457.0,FEMA_4
g12093,6.011013470934374,21.0,FEMA_4
g12095,1.6801143766544409,152.0,FEMA_4
g12097,5.449876304324435,23.0,FEMA_4
