GEOID,sovi_weighted,rank_weighted
g20161,-3.8255423824213395,2913.0
g20163,1.2082376751056976,926.0
g20165,1.801764233792286,675.0
g20167,0.4065510763063859,1361.0
g20169,-0.05371012223913829,1608.0
g20171,-0.38269123002321814,1802.0
g20173,-1.2574066588831991,2237.0
g20175,1.8311208683484268,656.0
g20177,1.1655958998057723,953.0
g20179,-0.19219580790063817,1690.0
g20181,1.5625121602318464,781.0
g20183,3.6020570817466457,243.0
g20185,2.096097274458025,551.0
g20187,0.12350210319365207,1509.0
g20189,-0.7302497728643578,1984.0
g20191,-0.661002879425776,1944.0
g20193,-0.672224890284778,1951.0
g20195,0.6326638703199103,1225.0
g20197,-2.2088045759163037,2552.0
g20199,-1.0381932312907032,2117.0
g20201,0.5405986369212212,1284.0
g20203,-1.3702299412952215,2272.0
g20205,2.367234906063312,468.0
g20207,2.431344360527291,449.0
g20209,3.056695518883201,321.0
g21001,0.35276178375846956,1395.0
g21003,-0.21486606594591806,1701.0
g21005,-2.1645332190007918,2542.0
g21007,-1.9686864079592152,2480.0
g21009,0.8907743747275914,1085.0
g21011,-0.8029735087531802,2016.0
g21013,3.4676171590722418,263.0
g21015,-4.712388990502537,2999.0
g21017,1.4007297049641658,850.0
g21019,0.011518836261493082,1574.0
g21021,0.8813380785076014,1090.0
g21023,-1.632759641414134,2370.0
g21025,2.9930318575889543,326.0
g21027,-1.0968772915145635,2149.0
g21029,-3.715885188189037,2891.0
g21031,-1.7269149458558157,2400.0
g21033,1.9233057843646966,622.0
g21035,-0.19051470229445255,1687.0
g21037,-1.539207609956338,2337.0
g21039,0.8553923018066485,1106.0
g21041,0.5718119843824905,1260.0
g21043,-1.226262848687086,2218.0
g21045,1.094757951856803,989.0
g21047,-0.22828717652979802,1708.0
g21049,-0.972996619579536,2092.0
g21051,-0.32029310450458315,1768.0
g21053,0.8424030280554948,1114.0
g21055,0.4821789771297478,1320.0
g21057,2.9173499373121374,338.0
g21059,0.06782126800357346,1546.0
g21061,-1.039830172522083,2119.0
g21063,0.891378560316126,1084.0
g21065,1.4508026345625913,824.0
g21067,-1.5350682013495924,2336.0
g21069,-2.0394777586757797,2504.0
g21071,1.3171274084257694,888.0
g21073,-0.3464233241499415,1783.0
g21075,-0.13499843947262335,1656.0
g21077,-1.2102946113954796,2212.0
g21079,-1.6625031536415487,2381.0
g21081,-2.6325359539069915,2666.0
g21083,0.17208621087778414,1477.0
g21085,-0.6797388229827361,1955.0
g21087,1.1484984817614723,964.0
g21089,0.39618492786414494,1366.0
g21091,-2.2904097325005415,2568.0
g21093,-1.867801613423262,2448.0
g21095,1.3019097900984642,894.0
g21097,0.5579365613959308,1272.0
g21099,0.10053200979217514,1522.0
g21101,0.09540865507101548,1524.0
g21103,-0.45713678307096506,1851.0
g21105,3.940524828744385,198.0
g21107,0.738799117098828,1172.0
g21109,0.6136869750461584,1234.0
g21111,0.11784709288637862,1516.0
g21113,-1.250691264389314,2234.0
g21115,-0.8440290619015802,2036.0
g21117,-2.003492790197573,2491.0
g21119,-0.04402010170049708,1601.0
g21121,2.4883545571231407,439.0
g21123,-1.6833846898898202,2388.0
g21125,-0.95730853544237,2087.0
g21127,1.0378762168489128,1016.0
g21129,-1.979220459522732,2481.0
g21131,0.3425231460202718,1397.0
g21133,-0.159749490500658,1674.0
g21135,1.0040680354535383,1031.0
g21137,0.17067211194285148,1479.0
g21139,0.8191783030387905,1129.0
g21141,-0.6650080355414789,1946.0
g21143,-0.5141517375317888,1879.0
g21145,0.8417893945757619,1115.0
g21147,-1.0921589539242886,2146.0
g21149,0.5425321426348073,1282.0
g21151,-0.49592673586813607,1865.0
g21153,0.6656103999780147,1212.0
g21155,-1.6270912655278762,2367.0
g21157,0.8407518758769521,1116.0
g21159,1.193462157635965,938.0
g21161,1.5979178589888083,761.0
g21163,-3.491653279928072,2854.0
g21165,2.5930124548767517,418.0
g21167,0.3898550745468716,1370.0
g21169,-1.612626625479513,2362.0
g21171,0.6028518217773748,1243.0
g21173,-0.5365225559498945,1893.0
g21175,-2.2732889410314328,2564.0
g21177,-0.5081324508066395,1874.0
g21179,-2.0527684094639036,2508.0
g21181,0.6598601328314719,1216.0
g21183,0.003581853787357314,1578.0
g21185,-7.634418648121912,3122.0
g21187,-1.5767457529051203,2350.0
g21189,5.6108314351163076,97.0
g21191,-2.3182274220429613,2579.0
g21193,0.4079264589781668,1359.0
g21195,-0.4690788685666112,1856.0
g21197,1.7570747354493725,694.0
g21199,0.8333677274083227,1122.0
g21201,0.4215887263074043,1351.0
g21203,1.2327106815663849,916.0
g21205,0.583329757578988,1253.0
g21207,0.9452007468550259,1054.0
g21209,-3.378981309053445,2837.0
g21211,-1.080575928047792,2141.0
g21213,-0.045653873471823925,1603.0
g21215,-4.9908438526486325,3021.0
g21217,1.70805555275524,715.0
g21219,-0.3466763555278918,1784.0
g21221,-0.6973694685480212,1966.0
g21223,-3.8542459100816875,2918.0
g21225,-0.9124851528958747,2071.0
g21227,-1.1864785290867197,2195.0
g21229,-1.1652589915070037,2181.0
g21231,0.9220509108475063,1066.0
g21233,-1.2277482337096695,2221.0
g21235,2.1605060349491323,533.0
g21237,5.4867972439579695,103.0
g21239,-3.206201578922145,2803.0
g22001,0.3760999365896397,1380.0
g22003,-1.2648875709339564,2239.0
g22005,-5.633390101891177,3059.0
g22007,-2.3676475313474667,2588.0
g22009,2.6101189892297483,414.0
g22011,-2.9890454705234966,2748.0
g22013,3.5168584105991787,253.0
g22015,-1.7473448889642915,2409.0
g22017,1.7416207750962958,699.0
g22019,-1.0107171586791024,2104.0
g22021,-0.9542230875787916,2086.0
g22023,-5.8294043778354405,3074.0
g22025,-1.437588621695511,2303.0
g22027,0.44912776838744284,1341.0
g22029,2.8977314612597675,345.0
g22031,1.4499774466999549,826.0
g22033,-1.2861702868730447,2246.0
g22035,5.738575429815409,91.0
g22037,-0.7938564648808017,2010.0
g22039,1.1951318279462415,936.0
g22041,2.619762623539334,410.0
g22043,-3.113441994618331,2783.0
g22045,-0.3307504019707843,1773.0
g22047,-2.0177032700048976,2497.0
g22049,0.29592155285024246,1423.0
g22051,0.13681942588653295,1497.0
g22053,-0.903608814385026,2069.0
g22055,-2.5196869229966268,2629.0
g22057,-1.795725756106711,2429.0
g22059,-2.3793576525267204,2594.0
g22061,0.5409740481755594,1283.0
g22063,-4.708742130601758,2998.0
g22065,2.056352322073122,567.0
g22067,3.7751482378245873,226.0
g22069,1.5770771395824381,774.0
g22071,1.9361527653982646,616.0
g22073,0.5032156090890154,1306.0
g22075,-4.529913008136291,2982.0
g22077,-0.6133580221664872,1926.0
g22079,1.2249389987446107,918.0
g22081,0.6967827957597479,1195.0
g22083,1.5078597366638085,809.0
g22085,-0.3852732154782257,1805.0
g22087,-2.052030940885949,2507.0
g22089,-3.8730883184492564,2919.0
g22091,1.7941384658710202,679.0
g22093,-0.8504003756183821,2044.0
g22095,-0.9187097839929015,2074.0
g22097,1.7151101828308857,712.0
g22099,-0.7921588093560624,2007.0
g22101,-0.2441462752356105,1720.0
g22103,-3.795853626870233,2908.0
g22105,-1.0347982172837842,2115.0
g22107,5.699093856507149,93.0
g22109,-2.3473995313375458,2587.0
g22111,-0.20498921000562764,1696.0
g22113,-1.7376268677224034,2406.0
g22115,-2.6622520126578935,2677.0
g22117,2.2652700510855843,501.0
g22119,1.1483760728882868,965.0
g22121,-2.1598843353634245,2540.0
g22123,1.7880633403096007,682.0
g22125,-9.449578466088752,3138.0
g22127,-0.13587305472915823,1657.0
g23001,-0.21703218210718522,1703.0
g23003,2.269049565077644,498.0
g23005,-1.7823501663633534,2421.0
g23007,1.958516326415068,604.0
g23009,0.2655819463675556,1437.0
g23011,-0.12666477108783858,1650.0
g23013,0.32918048895378027,1407.0
g23015,0.10389571389405372,1520.0
g23017,0.8917904722381272,1083.0
g23019,-0.22963866384839515,1710.0
g23021,2.184630419085361,526.0
g23023,-1.2923237570509816,2252.0
g23025,0.3159244078575546,1412.0
g23027,0.14286306890060863,1496.0
g23029,2.743088135998577,385.0
g23031,-1.2637452721315292,2238.0
g24001,1.4953908899009294,811.0
g24003,-6.00434464539992,3083.0
g24005,-1.9004526426953068,2458.0
g24009,-6.2976536911730525,3097.0
g24011,-0.809663057676843,2020.0
g24013,-4.991156595575685,3022.0
g24015,-3.286827949544617,2818.0
g24017,-5.781842835329558,3070.0
g24019,1.7975262672745185,678.0
g24021,-5.442433686428443,3051.0
g24023,0.19115241345592043,1467.0
g24025,-4.838182968271196,3007.0
g24027,-9.284888225160772,3137.0
g24029,2.3480244962358503,475.0
g24031,-4.909568380223095,3012.0
g24033,-1.8142197039881955,2433.0
g24035,-4.9553638369391235,3019.0
g24037,-5.695603491797419,3063.0
g24039,0.2609657676759157,1440.0
g24041,1.182783404262628,944.0
g24043,-1.4291010790344054,2299.0
g24045,0.48392010253342854,1318.0
g24047,1.33080288165012,882.0
g24510,4.896286332202438,128.0
g25001,1.3442116044071284,874.0
g25003,2.4327609313978864,448.0
g25005,0.811281544168412,1131.0
g25007,-1.3248836583109425,2259.0
g25009,-0.3747942673779734,1800.0
g25011,-0.8135862554606332,2023.0
g25013,3.3651509277977367,272.0
g25015,-1.6547202114658133,2375.0
g25017,-4.361205530028349,2965.0
g25019,-6.081979328677036,3087.0
g25021,-4.522018507876317,2981.0
g25023,-2.6830981328924004,2682.0
g25025,4.270158419737459,163.0
g25027,-1.728586946727196,2402.0
g26001,5.211080330230907,118.0
g26003,1.952182808064625,609.0
g26005,-2.3945459291730433,2602.0
g26007,1.2154832546386838,924.0
g26009,1.9113681465314758,627.0
g26011,1.815226233728263,665.0
